唯一标识,所在区域,景点名称,评论数量,评分,是否为广告内容,是否被推荐,城市名称,图片,与市中心的距离,标签,详情页链接,市场票价,优惠价格,优惠描述,实际票价,价格类型,价格类型描述,是否免费,经度,纬度,热度评分,省份
154040873,上海 · 原创沉浸式互动剧《七号警局》角色扮演+搞笑悬疑互动+沉浸式魔术演出｜第七感魔术剧场,陆家嘴,0.0,0.0,False,False,上海,https://dimg04.c-ctrip.com/images/0101s12000rgytfp8BF06.jpg,距市中心3.9km,,https://you.ctrip.com/sight/shanghai2/154040873.html?scene=online,,,,免费,5.0,,False,31.232989,121.521577,3.5,上海
112366304,青溪老街,奉贤开发区,70.0,4.3,False,False,上海,https://dimg04.c-ctrip.com/images/0100g12000f6tjoib65C4.jpg,距市中心35.7km,赏花胜地|历史建筑,https://you.ctrip.com/sight/shanghai2/112366304.html?scene=online,,,,免费,4.0,免费,True,30.929657,121.589217,3.6,上海
140920675,上海悬空玻璃艺术馆,人民广场地区,18.0,3.1,False,False,上海,https://dimg04.c-ctrip.com/images/0HJ1112000g8vs9j28913.jpg,距市中心1.2km,美术馆&艺术馆,https://you.ctrip.com/sight/shanghai2/140920675.html?scene=online,138.0,0.0,已减,49.9,2.0,门票,False,31.242435,121.490261,3.6,上海
153992025,苏州 · JOLIN 蔡依林2026《PLEASURE》巡回演唱会,工业园区金鸡湖东/诚品书店,0.0,0.0,False,False,苏州,https://dimg04.c-ctrip.com/images/0104c12000cf2qfcpD82B.png,距上海69.4km,演唱会,https://you.ctrip.com/sight/suzhou11/153992025.html?scene=online,,,,免费,5.0,,False,31.311266,120.755113,0.0,上海
149578910,唐朝诡事录·西行 国潮沉浸剧场(上海豫园店),豫园地区,5.0,5.0,False,False,上海,https://dimg04.c-ctrip.com/images/1lo3112000goej7fa77C9.jpg,距市中心1.7km,,https://you.ctrip.com/sight/shanghai2/149578910.html?scene=online,,,,免费,5.0,,False,31.231656,121.497659,3.6,上海
143144122,青溪古镇,奉贤开发区,3.0,4.7,False,False,上海,https://dimg04.c-ctrip.com/images/0101f12000cn1jkhcBFBD.jpg,距市中心35.8km,古镇古村|历史建筑,https://you.ctrip.com/sight/shanghai2/143144122.html?scene=online,,,,免费,4.0,免费,True,30.928669,121.587616,3.6,上海
154230514,上海 · 美国电子梦泡音乐人mixed matches 2026巡演,北外滩地区,0.0,0.0,False,False,上海,https://dimg04.c-ctrip.com/images/0105u12000s53h29k1A8F.jpg,距市中心4.5km,livehouse,https://you.ctrip.com/sight/shanghai2/154230514.html?scene=online,,,,免费,5.0,,False,31.270742,121.505337,3.5,上海
30501652,长兴岛郊野公园,崇明岛/长兴岛/横沙岛,577.0,4.5,False,False,上海,https://dimg04.c-ctrip.com/images/1lo6812000b3m6pc70668.jpg,距市中心29.5km,赏花胜地|自然山水,https://you.ctrip.com/sight/shanghai2/1992251.html?scene=online,,,,免费,4.0,免费,True,31.409007,121.71551,3.6,上海
36952825,宝龙美术馆,七宝古镇,293.0,4.6,False,False,上海,https://dimg04.c-ctrip.com/images/100b1f000001gson03AB2.jpg,距市中心13.6km,博物馆&展馆|美术馆&艺术馆,https://you.ctrip.com/sight/shanghai2/2520703.html?scene=online,,,,免费,5.0,,False,31.164188,121.36445,3.5,上海
60696966,上房园艺·梦花源,浦江镇地区,97.0,4.5,False,False,上海,https://dimg04.c-ctrip.com/images/10091f000001gsou68E7C.jpg,距市中心13.5km,赏花胜地|园林花园,https://you.ctrip.com/sight/shanghai2/5253385.html?scene=online,30.0,0.0,已减,19.9,2.0,门票,False,31.115132,121.477764,3.6,上海
